
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Broadcasting to 2 edges...
  [Edge 0] G1 | E1 | Hier-pFedMe | Selected 85/85
  [Client 37] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8552
  [Client  4] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9855
  [Client 69] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.3708
  [Client 66] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.7525
  [Client 16] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.4705
  [Client 73] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6644
  [Client 57] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.3717
  [Client 87] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.7769
  [Client 74] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6272
  [Client 24] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.4992
  [Client 30] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.1220
  [Client 67] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2717
  [Client 91] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.5903
  [Client 34] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8568
  [Client 19] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8557
  [Client  9] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.2534
  [Client 86] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9076
  [Client 52] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.5337
  [Client 18] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.5726
  [Client 47] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.5196
  [Client 49] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9605
  [Client 10] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.0519
  [Client 68] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9822
  [Client 36] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2452
  [Client 28] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9469
  [Client 83] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.4892
  [Client 50] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.1010
  [Client  6] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.0861
  [Client 17] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6975
  [Client 97] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9653
  [Client 53] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.1337
  [Client 20] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.1624
  [Client 72] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8215
  [Client 79] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.0689
  [Client  7] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9618
  [Client 70] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.2379
  [Client 92] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8439
  [Client 25] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2816
  [Client 88] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.0649
  [Client  3] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.5086
  [Client 44] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.1264
  [Client 42] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6477
  [Client 62] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9223
  [Client  5] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.1903
  [Client 90] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.3457
  [Client  8] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.7277
  [Client 82] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.5773
  [Client 21] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.0718
  [Client 12] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.0819
  [Client 27] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.5484
  [Client 94] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.0200
  [Edge 0] G1 | E1 | loss=1.7483
  [Edge 1] G1 | E1 | Hier-pFedMe | Selected 15/15
  [Client 99] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.4437
  [Client 14] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.0612
  [Client  0] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.5594
  [Client 40] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.3411
  [Client 63] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9150
  [Client 81] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9318
  [Client 33] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.2510
  [Client 95] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.4730
  [Client 22] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8773
  [Client 38] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8204
  [Client 71] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8783
  [Client 59] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.1627
  [Client 23] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.2247
  [Client 58] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9371
  [Client 76] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.7587
  [Edge 1] G1 | E1 | loss=2.0424
  [Cloud] GM=0.1033 | loss=2.3032 | time=353.7s | comm=4556.2MB (total=4556MB)

[Round   2] Broadcasting to 2 edges...
  [Edge 0] G2 | E1 | Hier-pFedMe | Selected 85/85
  [Client 74] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.3435
  [Client 83] Round 2 | Hier-pFedMe(λ2=35.0) | loss=0.9639
  [Client 84] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.1794
  [Client 30] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.2575
  [Client 10] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.2836
  [Client 34] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.3630
  [Client 82] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.1208
  [Client 56] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.2595
  [Client 57] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.3523
  [Client 67] Round 2 | Hier-pFedMe(λ2=35.0) | loss=0.9224
  [Client 31] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.1215
  [Client 49] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.2289
  [Client 61] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.2780
  [Client  7] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.0567
  [Client 89] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.6130
  [Client 78] Round 2 | Hier-pFedMe(λ2=35.0) | loss=0.3306
  [Client 35] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.4070
  [Client 24] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.2510
  [Client 28] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.2325
  [Client 65] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.2668
  [Client  3] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.0982
  [Client 92] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.1798
  [Client 51] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.3202
  [Client 94] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.3464
  [Client 42] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.0016
  [Client 68] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.3536
  [Client 55] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.1750
  [Client 97] Round 2 | Hier-pFedMe(λ2=35.0) | loss=0.9768
  [Client 93] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.4498
  [Client 15] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.3870
  [Client 27] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.2441
  [Client 88] Round 2 | Hier-pFedMe(λ2=35.0) | loss=0.3548
  [Client 52] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.3339
  [Client  4] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.1870
  [Client 69] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.5195
  [Client 73] Round 2 | Hier-pFedMe(λ2=35.0) | loss=0.9894
  [Client 43] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.3980
  [Client 96] Round 2 | Hier-pFedMe(λ2=35.0) | loss=0.2804
  [Client 29] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.0027
  [Client 79] Round 2 | Hier-pFedMe(λ2=35.0) | loss=0.3196
  [Client 70] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.3785
  [Client 25] Round 2 | Hier-pFedMe(λ2=35.0) | loss=0.8283
  [Client 46] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.2587
  [Client  9] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.0678
  [Client  6] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.0841
  [Client 17] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.1986
  [Client 48] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.0510
  [Client 36] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.1458
  [Client 41] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.0165
  [Client 50] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.2365
  [Client 53] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.2349
  [Client 11] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.1926
  [Client 91] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.1967
  [Client 85] Round 2 | Hier-pFedMe(λ2=35.0) | loss=0.9424
  [Client 39] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.1691
  [Client 47] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.3524
  [Client 32] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.3134
  [Client 21] Round 2 | Hier-pFedMe(λ2=35.0) | loss=0.3233
  [Client 44] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.2369
  [Client 64] Round 2 | Hier-pFedMe(λ2=35.0) | loss=0.8668
  [Client 72] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.0876
  [Client 77] Round 2 | Hier-pFedMe(λ2=35.0) | loss=0.2950
  [Client 87] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.3854
  [Client 60] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.0227
  [Client 20] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.4291
  [Client  8] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.5652
  [Client  5] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.2251
  [Client 54] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.2368
  [Client 37] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.2854
  [Client 80] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.1638
  [Client 45] Round 2 | Hier-pFedMe(λ2=35.0) | loss=0.3024
  [Client 16] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.2523
  [Client 19] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.4290
  [Client 66] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.0138
  [Client 90] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.4575
  [Client 86] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.1371
  [Client 13] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.4250
  [Client 12] Round 2 | Hier-pFedMe(λ2=35.0) | loss=0.9917
  [Client  1] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.0328
  [Client 26] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.1999
  [Client 98] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.0675
  [Client  2] Round 2 | Hier-pFedMe(λ2=35.0) | loss=0.9127
  [Client 62] Round 2 | Hier-pFedMe(λ2=35.0) | loss=0.8640
  [Client 75] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.1558
  [Client 18] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.1811
  [Edge 0] G2 | E1 | loss=1.1290
  [Edge 1] G2 | E1 | Hier-pFedMe | Selected 15/15
  [Client 33] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.2089
  [Client 38] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.3921
  [Client 59] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.5326
  [Client 14] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.1502
  [Client 58] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.0959
  [Client 22] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.5641
  [Client 71] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.1147
  [Client  0] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.2015
  [Client 63] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.1610
  [Client 40] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.1723
  [Client 81] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.2605
  [Client 99] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.1881
  [Client 23] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.0328
  [Client 95] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.2041
  [Client 76] Round 2 | Hier-pFedMe(λ2=35.0) | loss=1.3440
  [Edge 1] G2 | E1 | loss=1.2415
  [Cloud] GM=0.1030 | loss=2.3101 | time=39.0s | comm=4556.2MB (total=9112MB)

[Round   3] Broadcasting to 2 edges...
  [Edge 0] G3 | E1 | Hier-pFedMe | Selected 85/85
  [Client 43] Round 3 | Hier-pFedMe(λ2=35.0) | loss=1.2223
  [Client 94] Round 3 | Hier-pFedMe(λ2=35.0) | loss=1.2857
  [Client 61] Round 3 | Hier-pFedMe(λ2=35.0) | loss=1.0405
  [Client  1] Round 3 | Hier-pFedMe(λ2=35.0) | loss=0.9291
  [Client 92] Round 3 | Hier-pFedMe(λ2=35.0) | loss=1.3346
  [Client 69] Round 3 | Hier-pFedMe(λ2=35.0) | loss=1.2952
  [Client 39] Round 3 | Hier-pFedMe(λ2=35.0) | loss=0.9361
  [Client 45] Round 3 | Hier-pFedMe(λ2=35.0) | loss=0.3992
  [Client 36] Round 3 | Hier-pFedMe(λ2=35.0) | loss=0.9191
  [Client 12] Round 3 | Hier-pFedMe(λ2=35.0) | loss=1.1460
  [Client  8] Round 3 | Hier-pFedMe(λ2=35.0) | loss=1.0046
  [Client 44] Round 3 | Hier-pFedMe(λ2=35.0) | loss=1.3298
  [Client 35] Round 3 | Hier-pFedMe(λ2=35.0) | loss=1.2447
  [Client 66] Round 3 | Hier-pFedMe(λ2=35.0) | loss=1.0792
  [Client  6] Round 3 | Hier-pFedMe(λ2=35.0) | loss=0.8642
  [Client 52] Round 3 | Hier-pFedMe(λ2=35.0) | loss=1.3600
  [Client 84] Round 3 | Hier-pFedMe(λ2=35.0) | loss=1.4395
  [Client 78] Round 3 | Hier-pFedMe(λ2=35.0) | loss=0.3601
  [Client 91] Round 3 | Hier-pFedMe(λ2=35.0) | loss=1.4872
  [Client 37] Round 3 | Hier-pFedMe(λ2=35.0) | loss=1.3113
  [Client 56] Round 3 | Hier-pFedMe(λ2=35.0) | loss=1.3465
  [Client 47] Round 3 | Hier-pFedMe(λ2=35.0) | loss=1.2814
  [Client 17] Round 3 | Hier-pFedMe(λ2=35.0) | loss=0.8880
  [Client 32] Round 3 | Hier-pFedMe(λ2=35.0) | loss=1.2667
  [Client 28] Round 3 | Hier-pFedMe(λ2=35.0) | loss=1.1118
  [Client 73] Round 3 | Hier-pFedMe(λ2=35.0) | loss=0.9881
  [Client 80] Round 3 | Hier-pFedMe(λ2=35.0) | loss=1.0388
  [Client 98] Round 3 | Hier-pFedMe(λ2=35.0) | loss=1.1136
  [Client  5] Round 3 | Hier-pFedMe(λ2=35.0) | loss=1.0641
  [Client 90] Round 3 | Hier-pFedMe(λ2=35.0) | loss=1.0706
  [Client 89] Round 3 | Hier-pFedMe(λ2=35.0) | loss=1.1936
  [Client 75] Round 3 | Hier-pFedMe(λ2=35.0) | loss=1.0441
  [Client 96] Round 3 | Hier-pFedMe(λ2=35.0) | loss=0.3514
  [Client 16] Round 3 | Hier-pFedMe(λ2=35.0) | loss=1.2674
  [Client 86] Round 3 | Hier-pFedMe(λ2=35.0) | loss=1.0939
  [Client 20] Round 3 | Hier-pFedMe(λ2=35.0) | loss=1.2110
  [Client 42] Round 3 | Hier-pFedMe(λ2=35.0) | loss=1.1674
  [Client 21] Round 3 | Hier-pFedMe(λ2=35.0) | loss=0.3990
  [Client 70] Round 3 | Hier-pFedMe(λ2=35.0) | loss=1.3112
  [Client 24] Round 3 | Hier-pFedMe(λ2=35.0) | loss=1.0161
  [Client 97] Round 3 | Hier-pFedMe(λ2=35.0) | loss=0.9441
  [Client 77] Round 3 | Hier-pFedMe(λ2=35.0) | loss=0.3389
  [Client 65] Round 3 | Hier-pFedMe(λ2=35.0) | loss=1.1577
  [Client 82] Round 3 | Hier-pFedMe(λ2=35.0) | loss=0.8522
  [Client 49] Round 3 | Hier-pFedMe(λ2=35.0) | loss=1.1594
  [Client  4] Round 3 | Hier-pFedMe(λ2=35.0) | loss=0.9739
  [Client 13] Round 3 | Hier-pFedMe(λ2=35.0) | loss=0.9437
  [Client 34] Round 3 | Hier-pFedMe(λ2=35.0) | loss=1.4455
  [Client 83] Round 3 | Hier-pFedMe(λ2=35.0) | loss=0.9518
  [Client 29] Round 3 | Hier-pFedMe(λ2=35.0) | loss=1.1868
  [Client 51] Round 3 | Hier-pFedMe(λ2=35.0) | loss=1.3105
  [Client 19] Round 3 | Hier-pFedMe(λ2=35.0) | loss=1.1979
  [Client 88] Round 3 | Hier-pFedMe(λ2=35.0) | loss=0.3923
  [Client 93] Round 3 | Hier-pFedMe(λ2=35.0) | loss=1.2765
  [Client 85] Round 3 | Hier-pFedMe(λ2=35.0) | loss=1.1586
  [Client 87] Round 3 | Hier-pFedMe(λ2=35.0) | loss=1.3594
  [Client 26] Round 3 | Hier-pFedMe(λ2=35.0) | loss=0.9578
  [Client 48] Round 3 | Hier-pFedMe(λ2=35.0) | loss=0.9922
  [Client 11] Round 3 | Hier-pFedMe(λ2=35.0) | loss=0.8966
  [Client 50] Round 3 | Hier-pFedMe(λ2=35.0) | loss=1.0964
  [Client 68] Round 3 | Hier-pFedMe(λ2=35.0) | loss=1.0769
  [Client 25] Round 3 | Hier-pFedMe(λ2=35.0) | loss=0.9035
  [Client 18] Round 3 | Hier-pFedMe(λ2=35.0) | loss=1.1774
  [Client 60] Round 3 | Hier-pFedMe(λ2=35.0) | loss=0.9878
  [Client  7] Round 3 | Hier-pFedMe(λ2=35.0) | loss=1.0573
  [Client 10] Round 3 | Hier-pFedMe(λ2=35.0) | loss=1.4480
  [Client 27] Round 3 | Hier-pFedMe(λ2=35.0) | loss=0.9724
  [Client 55] Round 3 | Hier-pFedMe(λ2=35.0) | loss=1.0580
  [Client 64] Round 3 | Hier-pFedMe(λ2=35.0) | loss=0.9986
  [Client 30] Round 3 | Hier-pFedMe(λ2=35.0) | loss=1.3917
  [Client 54] Round 3 | Hier-pFedMe(λ2=35.0) | loss=1.3191
  [Client 57] Round 3 | Hier-pFedMe(λ2=35.0) | loss=1.1580
  [Client 72] Round 3 | Hier-pFedMe(λ2=35.0) | loss=0.9732
  [Client 67] Round 3 | Hier-pFedMe(λ2=35.0) | loss=0.9717
  [Client 62] Round 3 | Hier-pFedMe(λ2=35.0) | loss=0.8976
  [Client 53] Round 3 | Hier-pFedMe(λ2=35.0) | loss=1.0880
  [Client 79] Round 3 | Hier-pFedMe(λ2=35.0) | loss=0.4137
  [Client 15] Round 3 | Hier-pFedMe(λ2=35.0) | loss=1.0819
  [Client  3] Round 3 | Hier-pFedMe(λ2=35.0) | loss=0.8726
  [Client  2] Round 3 | Hier-pFedMe(λ2=35.0) | loss=0.7273
  [Client 46] Round 3 | Hier-pFedMe(λ2=35.0) | loss=1.1236
  [Client 41] Round 3 | Hier-pFedMe(λ2=35.0) | loss=0.8834
  [Client 74] Round 3 | Hier-pFedMe(λ2=35.0) | loss=1.2913
  [Client 31] Round 3 | Hier-pFedMe(λ2=35.0) | loss=1.1539
  [Client  9] Round 3 | Hier-pFedMe(λ2=35.0) | loss=0.9289
  [Edge 0] G3 | E1 | loss=1.0560
  [Edge 1] G3 | E1 | Hier-pFedMe | Selected 15/15
  [Client 95] Round 3 | Hier-pFedMe(λ2=35.0) | loss=1.1995
  [Client 58] Round 3 | Hier-pFedMe(λ2=35.0) | loss=1.1155
  [Client 76] Round 3 | Hier-pFedMe(λ2=35.0) | loss=1.3107
  [Client 71] Round 3 | Hier-pFedMe(λ2=35.0) | loss=0.9942
  [Client 63] Round 3 | Hier-pFedMe(λ2=35.0) | loss=1.2089
  [Client 22] Round 3 | Hier-pFedMe(λ2=35.0) | loss=1.1357
  [Client 99] Round 3 | Hier-pFedMe(λ2=35.0) | loss=0.9671
  [Client 23] Round 3 | Hier-pFedMe(λ2=35.0) | loss=0.9951
  [Client 81] Round 3 | Hier-pFedMe(λ2=35.0) | loss=1.1797
  [Client 38] Round 3 | Hier-pFedMe(λ2=35.0) | loss=0.8448
  [Client 14] Round 3 | Hier-pFedMe(λ2=35.0) | loss=1.1017
  [Client 40] Round 3 | Hier-pFedMe(λ2=35.0) | loss=1.1588
  [Client 59] Round 3 | Hier-pFedMe(λ2=35.0) | loss=1.0499
  [Client  0] Round 3 | Hier-pFedMe(λ2=35.0) | loss=0.9599
  [Client 33] Round 3 | Hier-pFedMe(λ2=35.0) | loss=1.3257
  [Edge 1] G3 | E1 | loss=1.1031
  [Cloud] GM=0.1156 | loss=2.3193 | time=38.5s | comm=4556.2MB (total=13669MB)

[Round   4] Broadcasting to 2 edges...
  [Edge 0] G4 | E1 | Hier-pFedMe | Selected 85/85
  [Client 39] Round 4 | Hier-pFedMe(λ2=35.0) | loss=0.9386
  [Client 34] Round 4 | Hier-pFedMe(λ2=35.0) | loss=1.2286
  [Client 78] Round 4 | Hier-pFedMe(λ2=35.0) | loss=0.3491
  [Client 16] Round 4 | Hier-pFedMe(λ2=35.0) | loss=1.3387
  [Client 32] Round 4 | Hier-pFedMe(λ2=35.0) | loss=1.2250
  [Client  8] Round 4 | Hier-pFedMe(λ2=35.0) | loss=0.8528
  [Client 74] Round 4 | Hier-pFedMe(λ2=35.0) | loss=1.2207
  [Client 43] Round 4 | Hier-pFedMe(λ2=35.0) | loss=1.2631
  [Client 75] Round 4 | Hier-pFedMe(λ2=35.0) | loss=1.0336
  [Client 69] Round 4 | Hier-pFedMe(λ2=35.0) | loss=1.3297
  [Client 80] Round 4 | Hier-pFedMe(λ2=35.0) | loss=0.8622
  [Client 46] Round 4 | Hier-pFedMe(λ2=35.0) | loss=1.0610
  [Client 51] Round 4 | Hier-pFedMe(λ2=35.0) | loss=1.4501
  [Client 41] Round 4 | Hier-pFedMe(λ2=35.0) | loss=1.1109
  [Client 60] Round 4 | Hier-pFedMe(λ2=35.0) | loss=0.9010
  [Client 53] Round 4 | Hier-pFedMe(λ2=35.0) | loss=0.9318
  [Client 64] Round 4 | Hier-pFedMe(λ2=35.0) | loss=0.9329
  [Client 94] Round 4 | Hier-pFedMe(λ2=35.0) | loss=1.2974
  [Client 25] Round 4 | Hier-pFedMe(λ2=35.0) | loss=1.1820
  [Client 12] Round 4 | Hier-pFedMe(λ2=35.0) | loss=1.0573
  [Client  7] Round 4 | Hier-pFedMe(λ2=35.0) | loss=1.0122
  [Client 50] Round 4 | Hier-pFedMe(λ2=35.0) | loss=1.3027
  [Client 77] Round 4 | Hier-pFedMe(λ2=35.0) | loss=0.3557
  [Client 79] Round 4 | Hier-pFedMe(λ2=35.0) | loss=0.4505
  [Client 13] Round 4 | Hier-pFedMe(λ2=35.0) | loss=0.9809
  [Client 15] Round 4 | Hier-pFedMe(λ2=35.0) | loss=0.9528
  [Client 97] Round 4 | Hier-pFedMe(λ2=35.0) | loss=0.8304
  [Client 96] Round 4 | Hier-pFedMe(λ2=35.0) | loss=0.3555
  [Client  6] Round 4 | Hier-pFedMe(λ2=35.0) | loss=0.8596
  [Client 20] Round 4 | Hier-pFedMe(λ2=35.0) | loss=1.3848
  [Client 18] Round 4 | Hier-pFedMe(λ2=35.0) | loss=1.0166
